Cast % (All)
 on 400677 == -0.2s
 on 400609 == -0.2s
 on 400676 == -0.2s
 on 400610 == -0.2s
 on 400628 == -0.2s
 on 20014717 == -0.2s
 on 20014723 == -0.2s
 on 20010850 == -0.2s
 on 20007835 == -0.2s
 on 20007832 == -0.2s
 on 20007765 == -0.2s
 on 20007760 == -0.2s
 on 400629 == -0.2s
 on 400630 == -0.2s
 on 400650 == -0.2s
 on 400661 == -0.2s
 on 20007702 == -0.2s
 on 400662 == -0.2s
 on 400663 == -0.2s
 on 400675 == -0.2s
 on 20008895 == -0.2s
 on 20008898 == -0.2s
 on 20014395 == -0.2s
 on 400228 == -0.2s
 on 20009885 == -0.2s
 on 20009797 == -0.2s
 on 400230 == -0.2s
 on 400231 == -0.2s
 on 400233 == -0.2s
 on 400234 == -0.2s
 on 400235 == -0.2s
 on 20009727 == -0.2s
 on 20009726 == -0.2s
 on 400236 == -0.2s
 on 20009718 == -0.2s
 on 20009712 == -0.2s
 on 400237 == -0.2s
 on 400238 == -0.2s
 on 400239 == -0.2s
 on 400240 == -0.2s
 on 400241 == -0.2s
 on 400229 == -0.2s
 on 400227 == -0.2s
 on 20014373 == -0.2s
 on 400226 == -0.2s
 on 20010289 == -0.2s
 on 400191 == -0.2s
 on 20010282 == -0.2s
 on 20010250 == -0.2s
 on 400192 == -0.2s
 on 400198 == -0.2s
 on 20010205 == -0.2s
 on 400199 == -0.2s
 on 400200 == -0.2s
 on 400201 == -0.2s
 on 400216 == -0.2s
 on 400217 == -0.2s
 on 400218 == -0.2s
 on 20010306 == -0.2s
 on 20010309 == -0.2s
 on 20010312 == -0.2s
 on 400219 == -0.2s
 on 400242 == -0.2s
 on 400243 == -0.2s
 on 400244 == -0.2s
 on 20010389 == -0.2s
 on 20009250 == -0.2s
 on 20009241 == -0.2s
 on 20009230 == -0.2s
 on 20009221 == -0.2s
 on 20009219 == -0.2s
 on 400376 == -0.2s
 on 400377 == -0.2s
 on 400378 == -0.2s
 on 400379 == -0.2s
 on 400380 == -0.2s
 on 400381 == -0.2s
 on 20014276 == -0.2s
 on 400382 == -0.2s
 on 20014296 == -0.2s
 on 20014306 == -0.2s
 on 20014319 == -0.2s
 on 20014333 == -0.2s
 on 400375 == -0.2s
 on 400374 == -0.2s
 on 400267 == -0.2s
 on 400265 == -0.2s
 on 20014200 == -0.2s
 on 20014219 == -0.2s
 on 400261 == -0.2s
 on 400262 == -0.2s
 on 400263 == -0.2s
 on 400264 == -0.2s
 on 20014252 == -0.2s
 on 400266 == -0.2s
 on 20009294 == -0.2s
 on 20009365 == -0.2s
 on 20009355 == -0.2s
 on 20009345 == -0.2s
 on 20009340 == -0.2s
 on 20009331 == -0.2s
 on 20009326 == -0.2s
 on 20009317 == -0.2s
 on 20007204 == -0.2s
 on 20013745 == -0.2s
 on 400079 == -0.2s
 on 20011869 == -0.2s
 on 20011814 == -0.2s
 on 20005385 == -0.2s
 on 20011826 == -0.2s
 on 20005356 == -0.2s
 on 20005325 == -0.2s
 on 20005283 == -0.2s
 on 20011834 == -0.2s
 on 20005266 == -0.2s
 on 20005239 == -0.2s
 on 20005236 == -0.2s
 on 20005231 == -0.2s
 on 20005226 == -0.2s
 on 20005218 == -0.2s
 on 20011857 == -0.2s
 on 20011866 == -0.2s
 on 20005211 == -0.2s
 on 20011867 == -0.2s
 on 20015702 == -0.2s
 combo 400465+490382 == -0.2s
 on 20011750 == -0.2s
 combo 470094+480292 == -0.2s
 on 20010292 == -0.2s
 on 20011373 == -0.2s
 on 20005856 == -0.2s
 on 20005847 == -0.2s
 on 20005846 == -0.2s
 on 400061 == -0.2s
 combo 2907+420129 == -0.2s
 combo 22238+480292 == -0.2s
 combo 400465+490383 == -0.2s
 combo 22171+480292 == -0.2s
 combo 470094+480291 == -0.2s
 combo 22238+480291 == -0.2s
 combo 22171+480291 == -0.2s
 combo 4556+400401 == -0.2s
 combo 2907+15924 == -0.2s
 on 20011746 == -0.2s
 on 20011869 == -0.2s
 on 20015736 == -0.2s
 on 20011314 == -0.2s
 on 20013315 == -0.2s
 combo 470122+4131 == -0.2s
 on 20012220 == -0.2s
 on 20012232 == -0.2s
 combo 18609+20940+490159 == -0.2s
 on 20017982 == -0.2s
 on 20015895 == -0.2s
 on 20012281 == -0.2s
 on 20012287 == -0.2s
 combo 490128+490129 == -0.2s
 on 20004384 == -0.2s
 on 20004374 == -0.2s
 on 20004364 == -0.2s
 on 20004356 == -0.2s
 on 20004302 == -0.2s
 on 20004296 == -0.2s
 on 20004288 == -0.2s
 on 20004285 == -0.2s
 combo 31319+31320 == -0.2s
 combo 490266+420136 == -0.2s
 on 20004715 == -0.2s
 on 20015863 == -0.2s
 on 20015788 == -0.2s
 combo 470183+480312 == -0.2s
 on 20015820 == -0.2s
 on 20015820 == -0.2s
 on 20013295 == -0.2s
 on 20015843 == -0.2s
 on 20015847 == -0.2s
 combo 19393+32243 == -0.2s
 on 20004719 == -0.2s
 on 20004869 == -0.2s
 on 20004867 == -0.2s
 on 20004853 == -0.2s
 on 20004831 == -0.2s
 on 20004829 == -0.2s
 on 20013263 == -0.2s
 combo 490170+18978 == -0.2s
 on 20015319 == -0.2s
 on 20005701 == -0.2s
 on 470199 == -0.2s
 on 20006853 == -0.2s
 on 15960 == -0.2s
 on 15959 == -0.2s
 on 15396 == -0.2s
 on 15395 == -0.2s
 on 15394 == -0.2s
 on 20006763 == -0.2s
 on 15393 == -0.2s
 on 15392 == -0.2s
 on 20006717 == -0.2s
 on 20006709 == -0.2s
 on 20006707 == -0.2s
 on 15391 == -0.2s
 on 470094 == -0.2s
 on 470199 == -0.2s
 on 470108 == -0.2s
 on 470109 == -0.2s
 on 470109 == -0.2s
 on 15961 == -0.2s
 on 20006876 == -0.2s
 on 470110 == -0.2s
 on 20006887 == -0.2s
 on 400059 == -0.2s
 on 400054 == -0.2s
 on 400049 == -0.2s
 on 410102 == -0.2s
 on 400044 == -0.2s
 on 420087 == -0.2s
 on 400022 == -0.2s
 on 20014863 == -0.2s
 on 20014888 == -0.2s
 on 20014890 == -0.2s
 on 400021 == -0.2s
 on 22257 == -0.2s
 on 15965 == -0.2s
 on 15964 == -0.2s
 on 15963 == -0.2s
 on 15962 == -0.2s
 on 20006897 == -0.2s
 on 470110 == -0.2s
 on 470108 == -0.2s
 on 470111 == -0.2s
 on 470173 == -0.2s
 on 20015210 == -0.2s
 on 20006350 == -0.2s
 on 20006336 == -0.2s
 on 20006335 == -0.2s
 combo 410339+420343 == -0.2s
 on 20006294 == -0.2s
 on 470158 == -0.2s
 on 470166 == -0.2s
 on 470173 == -0.2s
 on 470174 == -0.2s
 combo 29548+490578 == -0.2s
 on 20006232 == -0.2s
 on 20006225 == -0.2s
 on 470174 == -0.2s
 on 470176 == -0.2s
 on 470176 == -0.2s
 on 20011255 == -0.2s
 on 470183 == -0.2s
 on 20011280 == -0.2s
 combo 4556+400697 == -0.2s
 combo 410235+420194 == -0.2s
 on 20006357 == -0.2s
 on 20015372 == -0.2s
 on 2016 == -0.2s
 on 20015210 == -0.2s
 on 20015214 == -0.2s
 on 20015216 == -0.2s
 on 20006395 == -0.2s
 on 20015245 == -0.2s
 on 20015246 == -0.2s
 on 20015218 == -0.2s
 combo 310687+470291 == -0.2s
 on 20015262 == -0.2s
 on 20000248 == -0.1s
 on 20001736 == -0.1s
 on 20017476 == -0.1s
 on 20000711 == -0.1s
 on 20000222 == -0.1s
 on 20017453 == -0.1s
 on 20001701 == -0.1s
 on 20001728 == -0.1s
 on 20001739 == -0.1s
 on 20000761 == -0.1s
 on 20001741 == -0.1s
 on 20001747 == -0.1s
 on 20001751 == -0.1s
 on 20000228 == -0.1s
 on 20000235 == -0.1s
 on 20001763 == -0.1s
 on 20001794 == -0.1s
 on 20000779 == -0.1s
 on 20001251 == -0.1s
 on 20004256 == -0.1s
 on 20004705 == -0.1s
 on 20005273 == -0.1s
 on 20014258 == -0.1s
 on 20009281 == -0.1s
 on 20009252 == -0.1s
 on 20005261 == -0.1s
 on 20003210 == -0.1s
 on 20003250 == -0.1s
 on 20003257 == -0.1s
 on 20003268 == -0.1s
 on 20003273 == -0.1s
 on 20003291 == -0.1s
 on 20014245 == -0.1s
 on 20003298 == -0.1s
 on 20004700 == -0.1s
 on 20009210 == -0.1s
 on 20014259 == -0.1s
 on 20008799 == -0.1s
 on 20008794 == -0.1s
 on 20008792 == -0.1s
 on 20008783 == -0.1s
 on 20008758 == -0.1s
 on 20014256 == -0.1s
 on 20014229 == -0.1s
 on 20013708 == -0.1s
 on 20005230 == -0.1s
 on 20013773 == -0.1s
 on 20010794 == -0.1s
 on 20010726 == -0.1s
 on 20010706 == -0.1s
 on 20010299 == -0.1s
 on 20002782 == -0.1s
 on 20005216 == -0.1s
 on 20017010 == -0.1s
 on 20010273 == -0.1s
 on 20010233 == -0.1s
 on 20005253 == -0.1s
 on 20010210 == -0.1s
 on 20009792 == -0.1s
 on 20009792 == -0.1s
 on 20009787 == -0.1s
 on 20005233 == -0.1s
 on 20009735 == -0.1s
 on 20005251 == -0.1s
 on 20009726 == -0.1s
 on 20009721 == -0.1s
 on 20008752 == -0.1s
 on 20015716 == -0.1s
 on 20015703 == -0.1s
 on 20006294 == -0.1s
 on 20006267 == -0.1s
 on 20006278 == -0.1s
 on 20007251 == -0.1s
 on 20006283 == -0.1s
 on 20007240 == -0.1s
 on 20007234 == -0.1s
 on 20007229 == -0.1s
 on 20007203 == -0.1s
 on 20006791 == -0.1s
 on 20006778 == -0.1s
 on 20008736 == -0.1s
 on 20006768 == -0.1s
 on 20006295 == -0.1s
 on 20015203 == -0.1s
 on 20017425 == -0.1s
 on 20015248 == -0.1s
 on 20003700 == -0.1s
 on 20003713 == -0.1s
 on 20003717 == -0.1s
 on 20015272 == -0.1s
 on 20007274 == -0.1s
 on 20003752 == -0.1s
 on 20014799 == -0.1s
 on 20003763 == -0.1s
 on 20015701 == -0.1s
 on 20008705 == -0.1s
 on 20008288 == -0.1s
 on 20005713 == -0.1s
 on 20008277 == -0.1s
 on 20005715 == -0.1s
 on 20008241 == -0.1s
 on 20008228 == -0.1s
 on 20014704 == -0.1s
 on 20007752 == -0.1s
 on 20007731 == -0.1s
 on 20007727 == -0.1s
 on 20005736 == -0.1s
 on 20007700 == -0.1s
 on 20005761 == -0.1s
 on 20014752 == -0.1s
 on 20014773 == -0.1s
 on 20006205 == -0.1s
 on 20006231 == -0.1s
 on 20013743 == -0.1s
 on 20009742 == -0.1s
 on 20002275 == -0.1s
 on 20004788 == -0.1s
 on 20013253 == -0.1s
 on 20013242 == -0.1s
 on 20013226 == -0.1s
 on 20011749 == -0.1s
 on 20013210 == -0.1s
 on 20013207 == -0.1s
 on 20004245 == -0.1s
 on 20004248 == -0.1s
 on 20004780 == -0.1s
 on 20017056 == -0.1s
 on 20012709 == -0.1s
 on 20012743 == -0.1s
 on 20012749 == -0.1s
 on 20011798 == -0.1s
 on 20004793 == -0.1s
 on 20015799 == -0.1s
 on 20011727 == -0.1s
 on 20017212 == -0.1s
 on 20013298 == -0.1s
 on 20013294 == -0.1s
 on 20013290 == -0.1s
 on 20002279 == -0.1s
 on 20013274 == -0.1s
 on 20013264 == -0.1s
 on 20017209 == -0.1s
 on 20004299 == -0.1s
 on 20012238 == -0.1s
 on 20012261 == -0.1s
 on 20017206 == -0.1s
 on 20017202 == -0.1s
 on 20017176 == -0.1s
 on 20017148 == -0.1s
 on 20017046 == -0.1s
 on 20017214 == -0.1s
 on 20011715 == -0.1s
 on 20005203 == -0.1s
 on 20017233 == -0.1s
 on 20015754 == -0.1s
 on 20015752 == -0.1s
 on 20017301 == -0.1s
 on 20017305 == -0.1s
 on 20011214 == -0.1s
 on 20011204 == -0.1s
 on 20002718 == -0.1s
 on 20011204 == -0.1s
 on 20011202 == -0.1s
 on 20012754 == -0.1s
 on 20012763 == -0.1s
 on 20012791 == -0.1s
 on 20004719 == -0.1s
 on 20015757 == -0.1s
 on 20017281 == -0.1s
 on 20002708 == -0.1s
 on 20011255 == -0.1s
 on 20011294 == -0.1s
 on 20004239 == -0.1s
 on 20011224 == -0.1s
 on 20011283 == -0.1s
 on 20004294 == -0.1s
 on 20011252 == -0.1s
 on 20006762 == -0.10s
 on 420216 == -0.10s
 on 20011798 == -0.10s
 on 420199 == -0.10s
 on 20008268 == -0.10s
 on 20003735 == -0.10s
 on 420215 == -0.10s
 on 420186 == -0.10s
 on 420249 == -0.10s
 on 20013262 == -0.10s
 on 20012707 == -0.10s
 on 20005742 == -0.10s
 on 420316 == -0.10s
 on 420248 == -0.10s
 combo 28535+28534 == -0.10s
 on 20017336 == -0.10s
 on 24286 == -0.10s
 on 20003732 == -0.10s
 on 20010219 == -0.10s
 on 20003252 == -0.10s
 on 20003252 == -0.10s
 on 400291 == -0.10s
 on 400291 == -0.10s
 on 29071 == -0.10s
 combo 19126+420316 == -0.10s
 on 20005218 == -0.10s
 on 20017095 == -0.10s
 on 400164 == -0.10s
 on 20005215 == -0.10s
 on 5412 == -0.10s
 on 5605 == -0.10s
 on 20013761 == -0.10s
 on 20005213 == -0.10s
 on 20003254 == -0.10s
 on 310111 == -0.10s
 on 310658 == -0.10s
 on 18536 == -0.10s
 on 20001202 == -0.09s
 on 20015781 == -0.09s
 on 20000247 == -0.09s
 on 20004278 == -0.09s
 on 20006786 == -0.09s
 on 20017267 == -0.09s
 on 20002761 == -0.09s
 on 20008201 == -0.09s
 on 20010290 == -0.09s
 on 20006724 == -0.09s
 on 20014748 == -0.09s
 on 20014204 == -0.09s
 on 20008240 == -0.09s
 on 20017374 == -0.09s
 on 20000283 == -0.09s
 on 20000282 == -0.09s
 on 20002259 == -0.09s
 on 20002208 == -0.09s
 on 20000255 == -0.09s
 on 20017452 == -0.09s
 on 20013258 == -0.09s
 on 20009729 == -0.09s
 on 20008291 == -0.09s
 on 20017068 == -0.09s
 on 20009213 == -0.09s
 on 20014780 == -0.09s
 on 20014785 == -0.09s
 on 20001751 == -0.09s
 on 20000751 == -0.09s
 on 20017143 == -0.09s
 on 20014229 == -0.09s
 on 20001758 == -0.09s
 on 20009245 == -0.09s
 on 20011730 == -0.09s
 on 20009278 == -0.09s
 on 20014286 == -0.09s
 on 20005734 == -0.09s
 on 20004283 == -0.08s
 on 20005297 == -0.08s
 on 20004739 == -0.08s
 on 20006291 == -0.08s
 on 20005283 == -0.08s
 on 20015273 == -0.08s
 on 20005271 == -0.08s
 on 20015793 == -0.08s
 on 20004263 == -0.08s
 on 20000726 == -0.08s
 on 20003206 == -0.08s
 on 20017104 == -0.08s
 on 20014219 == -0.08s
 on 20010283 == -0.08s
 on 20000268 == -0.08s
 on 20000776 == -0.08s
 on 20002789 == -0.08s
 on 20014285 == -0.08s
 on 20008767 == -0.08s
 on 20008716 == -0.08s
 on 20001206 == -0.08s
 on 20008263 == -0.08s
 on 20002747 == -0.08s
 on 20007726 == -0.08s
 on 20011286 == -0.08s
 on 20009775 == -0.08s
 on 20017017 == -0.08s
 on 20009731 == -0.08s
 on 20017489 == -0.08s
 on 20017480 == -0.08s
 on 20017405 == -0.08s
 on 20007279 == -0.08s
 on 20015213 == -0.08s
 on 20017449 == -0.08s
 on 20011759 == -0.08s
 on 20007272 == -0.08s
 on 20007262 == -0.08s
 on 20006757 == -0.08s
 on 20017266 == -0.08s
 on 20013261 == -0.08s
 on 20007211 == -0.08s
 on 20010774 == -0.07s
 on 20004251 == -0.07s
 on 20001758 == -0.07s
 on 20013757 == -0.07s
 on 20017074 == -0.07s
 on 20011223 == -0.07s
 on 20011277 == -0.07s
 on 20011209 == -0.07s
 on 20003731 == -0.07s
 on 20015286 == -0.07s
 on 20014741 == -0.07s
 on 20014777 == -0.07s
 on 20009271 == -0.07s
 on 20006215 == -0.07s
 on 20014776 == -0.07s
 on 20006251 == -0.07s
 on 20006780 == -0.07s
 on 20008740 == -0.07s
 on 20003286 == -0.07s
 on 20003736 == -0.07s
 on 20000772 == -0.07s
 on 20004772 == -0.06s
 on 20006286 == -0.06s
 on 20013206 == -0.06s
 on 20006263 == -0.06s
 on 20012291 == -0.06s
 on 20015795 == -0.06s
 on 20012262 == -0.06s
 on 20007242 == -0.06s
 on 20010249 == -0.06s
 on 20014778 == -0.06s
 on 20006235 == -0.06s
 on 20015290 == -0.06s
 on 20007716 == -0.06s
 on 20007743 == -0.06s
 on 20005729 == -0.06s
 on 20008285 == -0.06s
 on 20008739 == -0.06s
 on 20005215 == -0.06s
 on 20011756 == -0.06s
 on 20017448 == -0.06s
 on 20000250 == -0.06s
 on 20002740 == -0.06s
 on 20017084 == -0.06s
 on 20017047 == -0.06s
 on 20001703 == -0.06s
 on 20001705 == -0.06s
 on 20017130 == -0.06s
 on 20003221 == -0.06s
 on 20017349 == -0.06s
 on 20017395 == -0.06s
 on 20017386 == -0.06s
 on 20003286 == -0.06s
 on 20006722 == -0.05s
 on 20001139 == -0.05s
 on 20016758 == -0.05s
 on 20001132 == -0.05s
 on 20011140 == -0.05s
 on 20001116 == -0.05s
 on 20010656 == -0.05s
 on 20010641 == -0.05s
 on 20010639 == -0.05s
 on 20002775 == -0.05s
 on 20011122 == -0.05s
 on 20007747 == -0.05s
 on 20014647 == -0.05s
 on 20006735 == -0.05s
 on 20016982 == -0.05s
 on 20009696 == -0.05s
 on 20009270 == -0.05s
 on 20000629 == -0.05s
 on 20006172 == -0.05s
 on 20014184 == -0.05s
 on 20014164 == -0.05s
 on 20016836 == -0.05s
 on 20016819 == -0.05s
 on 20008172 == -0.05s
 on 20009764 == -0.05s
 on 20008212 == -0.05s
 on 20008188 == -0.05s
 on 20010161 == -0.05s
 on 20011162 == -0.05s
 on 20006205 == -0.05s
 on 20005681 == -0.05s
 on 20011166 == -0.05s
 on 20008759 == -0.05s
 on 20003648 == -0.05s
 on 20003621 == -0.05s
 on 20007254 == -0.05s
 on 20004246 == -0.05s
 on 20002187 == -0.05s
 on 20016563 == -0.05s
 on 20013252 == -0.05s
 on 20011684 == -0.05s
 on 20005214 == -0.05s
 on 20002159 == -0.05s
 on 20004164 == -0.05s
 on 20004176 == -0.05s
 on 20011675 == -0.05s
 on 20016634 == -0.05s
 on 20011635 == -0.05s
 on 20006605 == -0.05s
 on 20013615 == -0.05s
 on 20001785 == -0.05s
 on 20002657 == -0.05s
 on 20004692 == -0.05s
 on 20003735 == -0.05s
 on 20007144 == -0.05s
 on 20008634 == -0.04s
 on 20008633 == -0.04s
 on 20003641 == -0.04s
 on 20004637 == -0.04s
 on 20003648 == -0.04s
 on 20003611 == -0.04s
 on 20016671 == -0.04s
 on 20007162 == -0.04s
 on 20007194 == -0.04s
 on 20016546 == -0.04s
 on 20009138 == -0.04s
 on 20008124 == -0.04s
 on 20008123 == -0.04s
 on 20008113 == -0.04s
 on 20014618 == -0.04s
 on 20014627 == -0.04s
 on 20016631 == -0.04s
 on 20014659 == -0.04s
 on 20014668 == -0.04s
 on 20007614 == -0.04s
 on 20007680 == -0.04s
 on 20016723 == -0.04s
 on 20016549 == -0.04s
 on 20004617 == -0.04s
 on 20009151 == -0.04s
 on 20003180 == -0.04s
 on 20001153 == -0.04s
 on 20001194 == -0.04s
 on 20002620 == -0.04s
 on 20013615 == -0.04s
 on 20011637 == -0.04s
 on 20011675 == -0.04s
 on 20011696 == -0.04s
 on 20001631 == -0.04s
 on 20001641 == -0.04s
 on 20001684 == -0.04s
 on 20012107 == -0.04s
 on 20012118 == -0.04s
 on 20012151 == -0.04s
 on 20001690 == -0.04s
 on 20001691 == -0.04s
 on 20002128 == -0.04s
 on 20013173 == -0.04s
 on 20002107 == -0.04s
 on 20012606 == -0.04s
 on 20011184 == -0.04s
 on 20011159 == -0.04s
 on 20011133 == -0.04s
 on 20010168 == -0.04s
 on 20003104 == -0.04s
 on 20016866 == -0.04s
 on 20016885 == -0.04s
 on 20014186 == -0.04s
 on 20014149 == -0.04s
 on 20016903 == -0.04s
 on 20016944 == -0.04s
 on 20010151 == -0.04s
 on 20016980 == -0.04s
 on 20013627 == -0.04s
 on 20010609 == -0.04s
 on 20010646 == -0.04s
 on 20010693 == -0.04s
 on 20001115 == -0.04s
 on 20001126 == -0.04s
 on 20013665 == -0.04s
 on 20013658 == -0.04s
 on 20013643 == -0.04s
 on 20016990 == -0.04s
 on 20000622 == -0.04s
 on 20000162 == -0.04s
 on 20004189 == -0.04s
 on 20015612 == -0.04s
 on 20005694 == -0.04s
 on 20006176 == -0.04s
 on 20000122 == -0.04s
 on 20003691 == -0.04s
 on 20004114 == -0.04s
 on 20003689 == -0.04s
 on 20004133 == -0.04s
 on 20005195 == -0.04s
 on 20005120 == -0.04s
 on 20004187 == -0.04s
 on 20006180 == -0.04s
 on 20006613 == -0.04s
 on 20009623 == -0.03s
 on 20011132 == -0.03s
 on 20014635 == -0.03s
 on 20000101 == -0.03s
 on 20011135 == -0.03s
 on 20015649 == -0.03s
 on 20011147 == -0.03s
 on 20003661 == -0.03s
 on 20016775 == -0.03s
 on 20011147 == -0.03s
 on 20016914 == -0.03s
 on 20000166 == -0.03s
 on 20001151 == -0.03s
 on 20016672 == -0.03s
 on 20000179 == -0.03s
 on 20007696 == -0.03s
 on 20016888 == -0.03s
 on 20013128 == -0.03s
 on 20007655 == -0.03s
 on 20002679 == -0.03s
 on 20006659 == -0.03s
 on 20011132 == -0.03s
 on 20002666 == -0.03s
 on 20011131 == -0.03s
 on 20006181 == -0.03s
 on 20005658 == -0.03s
 on 20016816 == -0.03s
 on 20010691 == -0.03s
 on 20016797 == -0.03s
 on 20016979 == -0.03s
 on 20010698 == -0.03s
 on 20001140 == -0.03s
 on 20008183 == -0.03s
 on 20008174 == -0.03s
 on 20008124 == -0.03s
 on 20015605 == -0.03s
 on 20004676 == -0.03s
 on 20005673 == -0.03s
 on 20005685 == -0.03s
 on 20015617 == -0.03s
 on 20003669 == -0.03s
 on 20014132 == -0.03s
 on 20011106 == -0.03s
 on 20003656 == -0.03s
 on 20001189 == -0.03s
 on 20009641 == -0.03s
 on 20012664 == -0.03s
 on 20012692 == -0.03s
 on 20005159 == -0.03s
 on 20004679 == -0.03s
 on 20015132 == -0.03s
 on 20007194 == -0.03s
 on 20007176 == -0.03s
 on 20007174 == -0.03s
 on 20004180 == -0.03s
 on 20015101 == -0.03s
 on 20000662 == -0.03s
 on 20002192 == -0.03s
 on 20003140 == -0.03s
 on 20002189 == -0.03s
 on 20002167 == -0.03s
 on 20003610 == -0.03s
 on 20003610 == -0.03s
 on 20013160 == -0.03s
 on 20016863 == -0.03s
 on 20009614 == -0.03s
 on 20000676 == -0.03s
 on 20015152 == -0.03s
 on 20004125 == -0.03s
 on 20005601 == -0.03s
 on 20003652 == -0.03s
 on 20006149 == -0.03s
 on 20016622 == -0.03s
 on 20016619 == -0.03s
 on 20000655 == -0.03s
 on 20016582 == -0.03s
 on 20016594 == -0.03s
 on 20015180 == -0.03s
 on 20016555 == -0.03s
 on 20006146 == -0.03s
 on 20015162 == -0.03s
 on 20016893 == -0.02s
 on 20009673 == -0.02s
 on 20014173 == -0.02s
 on 20009608 == -0.02s
 on 20009623 == -0.02s
 on 20005664 == -0.02s
 on 20014160 == -0.02s
 on 20009660 == -0.02s
 on 20014142 == -0.02s
 on 20016947 == -0.02s
 on 20009675 == -0.02s
 on 20010159 == -0.02s
 on 20016901 == -0.02s
 on 20016948 == -0.02s
 on 20003160 == -0.02s
 on 20016941 == -0.02s
 on 20003132 == -0.02s
 on 20006675 == -0.02s
 on 20010616 == -0.02s
 on 20002637 == -0.02s
 on 20011621 == -0.02s
 on 20011626 == -0.02s
 on 20011648 == -0.02s
 on 20004137 == -0.02s
 on 20004150 == -0.02s
 on 20011682 == -0.02s
 on 20005156 == -0.02s
 on 20012140 == -0.02s
 on 20002154 == -0.02s
 on 20002128 == -0.02s
 on 20013141 == -0.02s
 on 20013137 == -0.02s
 on 20012621 == -0.02s
 on 20012646 == -0.02s
 on 20012678 == -0.02s
 on 20011606 == -0.02s
 on 20001162 == -0.02s
 on 20010685 == -0.02s
 on 20011197 == -0.02s
 on 20010693 == -0.02s
 on 20013689 == -0.02s
 on 20013646 == -0.02s
 on 20015612 == -0.02s
 on 20013620 == -0.02s
 on 20013619 == -0.02s
 on 20001147 == -0.02s
 on 20011108 == -0.02s
 on 20015632 == -0.02s
 on 20015647 == -0.02s
 on 20006122 == -0.02s
 on 20011156 == -0.02s
 on 20011160 == -0.02s
 on 20001152 == -0.02s
 on 20011193 == -0.02s
 on 20003182 == -0.02s
 on 20007173 == -0.02s
 on 20009148 == -0.02s
 on 20016717 == -0.02s
 on 20003603 == -0.02s
 on 20014648 == -0.02s
 on 20000689 == -0.02s
 on 20000673 == -0.02s
 on 20006166 == -0.02s
 on 20000107 == -0.02s
 on 20007142 == -0.02s
 on 20000137 == -0.02s
 on 20015128 == -0.02s
 on 20008661 == -0.02s
 on 20016838 == -0.02s
 on 20008651 == -0.02s
 on 20016687 == -0.02s
 on 20008631 == -0.02s
 on 20007690 == -0.02s
 on 20007689 == -0.02s
 on 20003698 == -0.02s
 on 20007660 == -0.02s
 on 20015196 == -0.02s
 on 20016662 == -0.02s
 on 20006184 == -0.02s
 on 20000602 == -0.02s
 on 20016793 == -0.02s
 on 20003655 == -0.02s
 on 20003614 == -0.02s
 on 20006129 == -0.02s
 on 20009132 == -0.02s
 on 20003641 == -0.02s
 on 20009137 == -0.02s
 on 20006660 == -0.02s
 on 20014616 == -0.02s
 on 20007522 == -0.01s
 on 20002572 == -0.01s
 on 20002639 == -0.01s
 on 20004040 == -0.01s
 on 20014569 == -0.01s
 on 20016141 == -0.01s
 on 20008067 == -0.01s
 on 20007660 == -0.01s
 on 20001156 == -0.01s
 on 20016188 == -0.01s
 on 20004114 == -0.01s
 on 20013546 == -0.01s
 on 20008057 == -0.01s
 on 20007639 == -0.01s
 on 20016220 == -0.01s
 on 20011163 == -0.01s
 on 20014649 == -0.01s
 on 20000054 == -0.01s
 on 20000092 == -0.01s
 on 20014593 == -0.01s
 on 20014585 == -0.01s
 on 20001149 == -0.01s
 on 20013538 == -0.01s
 on 20009161 == -0.01s
 on 20011026 == -0.01s
 on 20011098 == -0.01s
 on 20011085 == -0.01s
 on 20011045 == -0.01s
 on 20011039 == -0.01s
 on 20016280 == -0.01s
 on 20016693 == -0.01s
 on 20002565 == -0.01s
 on 20004172 == -0.01s
 on 20011541 == -0.01s
 on 20011588 == -0.01s
 on 20016126 == -0.01s
 on 20007050 == -0.01s
 on 20016047 == -0.01s
 on 20004544 == -0.01s
 on 20004544 == -0.01s
 on 20006533 == -0.01s
 on 20007000 == -0.01s
 on 20013080 == -0.01s
 on 20012510 == -0.01s
 on 20012513 == -0.01s
 on 20012542 == -0.01s
 on 20004564 == -0.01s
 on 20012586 == -0.01s
 on 20015044 == -0.01s
 on 20015045 == -0.01s
 on 20002090 == -0.01s
 on 20004569 == -0.01s
 on 20002045 == -0.01s
 on 20004583 == -0.01s
 on 20007052 == -0.01s
 on 20007148 == -0.01s
 on 20003597 == -0.01s
 on 20005173 == -0.01s
 on 20007511 == -0.01s
 on 20016575 == -0.01s
 on 20015177 == -0.01s
 on 20016470 == -0.01s
 on 20003510 == -0.01s
 on 20013655 == -0.01s
 on 20004174 == -0.01s
 on 20002517 == -0.01s
 on 20003546 == -0.01s
 on 20005039 == -0.01s
 on 20001581 == -0.01s
 on 20001612 == -0.01s
 on 20003557 == -0.01s
 on 20001641 == -0.01s
 on 20005076 == -0.01s
 on 20012030 == -0.01s
 on 20012052 == -0.01s
 on 20005075 == -0.01s
 on 20008082 == -0.01s
 on 20014584 == -0.01s
 on 20014130 == -0.01s
 on 20005635 == -0.01s
 on 20008614 == -0.01s
 on 20014135 == -0.01s
 on 20008584 == -0.01s
 on 20006698 == -0.01s
